Date,City,Crop,Min_Price,Max_Price,Season
2023-08-01,Pune,Cotton,6890.66,6924.01,Rainy
2023-08-02,Pune,Cotton,6804.15,6949.27,Rainy
2023-08-03,Pune,Cotton,6722.64,6902.96,Rainy
2023-08-04,Pune,Cotton,6756.04,7008.68,Rainy
2023-08-05,Pune,Cotton,6707.34,7018.23,Rainy
2023-08-06,Pune,Cotton,6772.04,7040.07,Rainy
2023-08-07,Pune,Cotton,6858.56,6993.23,Rainy
2023-08-08,Pune,Cotton,6872.95,6961.6,Rainy
2023-08-09,Pune,Cotton,6974.88,6977.87,Rainy
2023-08-10,Pune,Cotton,6909.19,6972.45,Rainy
2023-08-11,Pune,Cotton,6880.81,6952.56,Rainy
2023-08-12,Pune,Cotton,6795.36,7037.21,Rainy
2023-08-13,Pune,Cotton,6855.28,7164.01,Rainy
2023-08-14,Pune,Cotton,6969.46,7224.6,Rainy
2023-08-15,Pune,Cotton,6864.21,7286.93,Rainy
2023-08-16,Pune,Cotton,6940.09,7245.76,Rainy
2023-08-17,Pune,Cotton,6860.77,7241.22,Rainy
2023-08-18,Pune,Cotton,6738.72,7162.55,Rainy
2023-08-19,Pune,Cotton,6756.68,7288.84,Rainy
2023-08-20,Pune,Cotton,6742.03,7301.77,Rainy
2023-08-21,Pune,Cotton,6671.99,7305.83,Rainy
2023-08-22,Pune,Cotton,6768.11,7172.69,Rainy
2023-08-23,Pune,Cotton,6812.16,7143.4,Rainy
2023-08-24,Pune,Cotton,6867.91,7187.52,Rainy
2023-08-25,Pune,Cotton,6860.51,7044.89,Rainy
2023-08-26,Pune,Cotton,6736.19,7044.2,Rainy
2023-08-27,Pune,Cotton,6668.19,7018.39,Rainy
2023-08-28,Pune,Cotton,6772.43,6977.73,Rainy
2023-08-29,Pune,Cotton,6883.52,7007.15,Rainy
2023-08-30,Pune,Cotton,6814.75,7095.26,Rainy
2023-08-31,Pune,Cotton,6767.99,6973.27,Rainy
2023-09-01,Pune,Cotton,6667.73,7004.91,Rainy
2023-09-02,Pune,Cotton,6737.91,7057.64,Rainy
2023-09-03,Pune,Cotton,6775.89,7070.32,Rainy
2023-09-04,Pune,Cotton,6767.85,7037.94,Rainy
2023-09-05,Pune,Cotton,6744.25,7017.07,Rainy
2023-09-06,Pune,Cotton,6861.98,7108.25,Rainy
2023-09-07,Pune,Cotton,6995.04,7078.62,Rainy
2023-09-08,Pune,Cotton,7049.28,7119.6,Rainy
2023-09-09,Pune,Cotton,6942.07,7019.84,Rainy
2023-09-10,Pune,Cotton,6888.53,7024.43,Rainy
2023-09-11,Pune,Cotton,6872.38,7019.29,Rainy
2023-09-12,Pune,Cotton,6794.01,6899.84,Rainy
2023-09-13,Pune,Cotton,6818.41,6891.2,Rainy
2023-09-14,Pune,Cotton,6731.51,7016.98,Rainy
2023-09-15,Pune,Cotton,6625.81,7102.58,Rainy
2023-09-16,Pune,Cotton,6595.28,7031.37,Rainy
2023-09-17,Pune,Cotton,6638.82,7119.38,Rainy
2023-09-18,Pune,Cotton,6664.93,7185.23,Rainy
2023-09-19,Pune,Cotton,6784.68,7077.22,Rainy
2023-09-20,Pune,Cotton,6896.94,7035.17,Rainy
2023-09-21,Pune,Cotton,6879.85,7061.42,Rainy
2023-09-22,Pune,Cotton,6913.07,7122.41,Rainy
2023-09-23,Pune,Cotton,7013.9,7176.71,Rainy
2023-09-24,Pune,Cotton,7141.44,7155.79,Rainy
